###文件开始###
#各算法在不同r下的query时间（s）
#'DBLP'
# k             drc        	    dou         baseline
3               0.303           2.562         155.159
7               0.048           0.316         164.852
11              0.003           0.027         156.377
15              0.001           0.001         162.900
19              0.001           0.001         165.355
