###文件开始###
#各算法在不同r下的query时间（s）
#'biomine'
# k             drc        	    dou         baseline
3               1.239           8.465         2644.951
7               0.403           2.913         2722.934
11              0.142           0.654         2744.215
15              0.072           0.414         2757.968
19              0.016           0.252         2700.276
