###文件开始###
#各算法在不同r下的query时间（s）
#'biomine'
# r              drc          dou         baseline
0.01	         10.671       1256.775    3248.619
0.1	    		 4.919        28.806      3163.410
0.2	    	     1.239        8.465       2644.951
0.4	   		     0.750        5.047       2206.391
0.8	   		     0.041        0.392       2091.565
