###文件开始###
#各算法在不同r下的query时间（s）
#'DBLP'
# r              drc          dou         baseline
0.01	         1.642        97.378      169.696
0.1	    		 0.829        7.645       162.753
0.2	    	     0.303        2.562       155.159
0.4	   		     0.197        1.407       147.545
0.8	   		     0.028        0.185       139.599
