###文件开始###
#稳定性 各算法在不同规模数据集下的query时间（s）
#'Flickr'
# 0.2 0.4 0.6 0.8 1.0
# scale             drc   	 int     		 dou         baseline
0.2    		    0.001      	0.00119      	 0.26212    	  2.46854
0.4     	   0.00428        0.00691		 1.35403	      11.87022
0.6    		    0.0108        0.01435		 3.84759          36.17931
0.8    		    0.02089     0.02767		     8.35877          89.41598
1.0   		     0.03357        0.04607		 15.58505         181.16194
